text,bug,feature_request,documentation,question,duplicate,needs_more_info,critical
"Title: Duplicate: Unable to paste clipboard text into AutogradEngine

Body: Closing as duplicate since this is already tracked under active milestone.",0,0,0,0,1,0,0
"Title: Same as #5421: font rendering glitch

Body: Duplicate of #5421. Closing this issue to keep discussion consolidated.",0,0,0,0,1,0,0
"Title: cmd/compile: ICE during inline expansion of recursive generic function

Body: Duplicate of #54321. Fixed in master by commit e8a912.",0,0,0,0,1,0,0
"Title: Duplicate report: Sidebar icons not aligning properly

Body: Closing as duplicate since this is already tracked under active milestone.",0,0,0,0,1,0,0
"Title: Duplicate of previous report: panic during saving file

Body: Same crash during saving file as previously tracked bug report.",1,0,0,0,1,0,0
"Title: Duplicate: Nil pointer dereference in VirtualDOM

Body: This panic was already reported and resolved in previous issue. Marking as duplicate bug.",1,0,0,0,1,0,0
"Title: Duplicate report: Sidebar icons not aligning properly

Body: Closing as duplicate since this is already tracked under active milestone.",0,0,0,0,1,0,0
"Title: Duplicate: Nil pointer dereference in MemoryPool

Body: This panic was already reported and resolved in previous issue. Marking as duplicate bug.",1,0,0,0,1,0,0
"Title: Closing as duplicate: race condition in LanguageServer

Body: Same crash during concurrent state update as previously tracked bug report.",1,0,0,0,1,0,0
"Title: Duplicate: Nil pointer dereference in FiberTree

Body: Same crash during deserializing state as previously tracked bug report.",1,0,0,0,1,0,0
"Title: Duplicate of previous report: panic during deserializing state

Body: This panic was already reported and resolved in previous issue. Marking as duplicate bug.",1,0,0,0,1,0,0
"Title: Duplicate report: Sidebar icons not aligning properly

Body: Duplicate of #5421. Closing this issue to keep discussion consolidated.",0,0,0,0,1,0,0
"Title: Same as #5421: font rendering glitch

Body: Closing as duplicate since this is already tracked under active milestone.",0,0,0,0,1,0,0
